"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ICICIBANK",1170,1193,1165.65,1161.65,1188.5,2.31,10961370,12950200972.8,"12-Aug-2024"
"IDFCFIRSTB",71.5,72.1,70.9,70.6,71.93,1.88,26680020,1908688630.8,"23-Jul-2018"
"INDUSINDBK",1347.1,1367.9,1338.55,1338.1,1362.65,1.83,5456176,7386680192.32,"28-Jun-2024"
"AUBANK",607,614,605.8,603.05,613.5,1.73,1265653,771504099.21,"12-Jul-2024"
"BANKBARODA",241.5,243.75,240.5,239.45,243.5,1.69,8039046,1948021626.72,"28-Jun-2024"
"KOTAKBANK",1762,1785.75,1746,1747.9,1776.3,1.62,2961871,5241563871.28,"19-Jul-2024"
"HDFCBANK",1628.5,1634.15,1611,1607.8,1631.5,1.47,13924623,22623474234.33,"10-May-2024"
"AXISBANK",1166.4,1170,1149.6,1153.1,1166.8,1.19,6107134,7088489362.46,"12-Jul-2024"
"SBIN",803,814.9,803,803,811.4,1.05,11427335,9256712716.75,"22-May-2024"
"BANDHANBNK",192.5,193.5,189.75,189.99,191.55,0.82,11031971,2114828840.7,"13-Aug-2024"
"FEDERALBNK",203.01,204.9,201.69,202.73,203.85,0.55,5776204,1174360035.24,"11-Aug-2023"